plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	The Nursing Process and ADPIE Method	Nursing	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Comprehensive Vital Signs Assessment in Nursing	Fundamentals of Nursing	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Diabetes Mellitus Overview	Nursing	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Cultural Competence in Nursing	Fundamentals of Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Fundamentals of Health Assessment in Nursing Practice	Fundamentals of Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	How Breastmilk Supports Infant Immunity and Development	Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Passive Immunity via Breastmilk in Newborns	Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Why do students forget what they studied?	Psychology	(unset)	Psychology	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Fundamentals of Gait Analysis in Physical Therapy	Kinesiology	(unset)	Physical Therapy	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Mechanisms of Muscle Contraction and Principles of Motor Control in Physical Therapy	Kinesiology	(unset)	Physical Therapy	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Physiological Causes of Nausea and Lightheadedness Post-Exercise	Physical Therapy	(unset)	Physical Therapy	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Common Sports Injuries and Rehabilitation Principles	Sports Rehabilitation	(unset)	Physical Therapy	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Range of Motion and Joint Mobility	Therapeutic Exercise	(unset)	Physical Therapy	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Coagulation and Flocculation Mechanisms in Water Treatment Engineering	Water Treatment	ENGINEERING_SCIENCES	Biology, Chemical Engineering, Chemistry, Civil Engineering, Environmental Engineering, Sanitary Engineering	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Disinfection in Water Treatment: Principles and Methods	Water Treatment	ENGINEERING_SCIENCES	Biology, Chemical Engineering, Chemistry, Civil Engineering, Environmental Engineering, Sanitary Engineering	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Filtration Processes in Water Treatment Engineering	Water Treatment	ENGINEERING_SCIENCES	Biology, Chemical Engineering, Chemistry, Civil Engineering, Environmental Engineering, Sanitary Engineering	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Key Components of a Water Treatment Plant	Water Treatment	ENGINEERING_SCIENCES	Biology, Chemical Engineering, Chemistry, Civil Engineering, Environmental Engineering, Sanitary Engineering	Excluded
