plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Reporting Framework and the Accountancy Profession	Break-Even Analysis and Cost-Volume-Profit Relationships	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Reporting Framework and the Accountancy Profession	Contribution Margin and Its Role in Business Decision-Making	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Reporting Framework and the Accountancy Profession	Fixed, Variable, and Mixed Costs in Cost Accounting	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Reporting Framework and the Accountancy Profession	Fundamentals of Variance Analysis in Cost Accounting	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Reporting Framework and the Accountancy Profession	Standard Costing Concepts in Cost Accounting	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Reporting Framework and the Accountancy Profession	IASB, IFRS Interpretations Committee, FRSC, and PIC	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Reporting Framework and the Accountancy Profession	Regulation and Sectors of the Philippine Accountancy Profession	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Conceptual Framework	Concepts of Capital and Capital Maintenance	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Conceptual Framework	Objective and Status of the Conceptual Framework	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Conceptual Framework	Qualitative Characteristics of Useful Financial Information	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Conceptual Framework	Recognition, Derecognition, and Measurement of Financial Statement Elements	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
