plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	status	applicable_programs	curation_status
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Foundations of Architectural History	Origins and Development of Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Foundations of Architectural History	Factors Influencing Architectural Styles	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Foundations of Architectural History	Prehistoric Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Foundations of Architectural History	Architectural Style Analysis and Identification	History of Architecture	(unset)	New	Architecture	UNSET_VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Ancient Architecture	Egyptian Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Ancient Architecture	West Asiatic and Mesopotamian Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Ancient Architecture	Greek Architecture	History of Architecture	(unset)	Existing	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Ancient Architecture	Roman Architecture	History of Architecture	(unset)	Existing	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Medieval Architecture	Early Christian Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Medieval Architecture	Byzantine Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Medieval Architecture	Romanesque Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Medieval Architecture	Gothic Architecture	History of Architecture	(unset)	Existing	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Renaissance Architecture	History of Architecture	(unset)	Existing	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Baroque and Rococo Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Neoclassical Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Nineteenth-Century Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Modern Architecture	History of Architecture	(unset)	Existing	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Twentieth-Century Architectural Movements	History of Architecture	(unset)	New	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Contemporary Architecture	History of Architecture	(unset)	New	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Renaissance to Contemporary Architecture	Evolution of Architectural Styles	History of Architecture	(unset)	Existing	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Asian Architecture	Architecture of South Asia	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Asian Architecture	Chinese Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Asian Architecture	Japanese Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Asian Architecture	Southeast Asian Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Philippine Architecture	Pre-Colonial Philippine Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Philippine Architecture	Spanish Colonial Architecture in the Philippines	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Philippine Architecture	American Colonial Architecture in the Philippines	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Philippine Architecture	Postwar and Modern Philippine Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Philippine Architecture	Contemporary Philippine Architecture	History of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Philippine Architecture	Filipino Architects and Their Major Works	History of Architecture	(unset)	New	Architecture	UNSET_VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Heritage Conservation	Architectural Heritage Conservation	Architectural Conservation	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Heritage Conservation	Architectural Preservation and Restoration	Architectural Conservation	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Heritage Conservation	Adaptive Reuse of Historic Buildings	Architectural Conservation	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Heritage Conservation	Philippine Heritage Conservation Principles	Architectural Conservation	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Theory of Architecture	Nature of Architecture as Art and Science	Theory of Architecture	(unset)	New	Architecture	UNSET_VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Theory of Architecture	Elements of Architecture	Theory of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Theory of Architecture	Principles of Architectural Composition	Theory of Architecture	(unset)	New	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Theory of Architecture	Form, Space, and Order	Theory of Architecture	(unset)	New	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Theory of Architecture	Architectural Design Processes	Theory of Architecture	(unset)	New	Architecture	UNSET_VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Theory of Architecture	Visual Perception in Architecture	Theory of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Theory of Architecture	Psychology of Architectural Space	Theory of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Human Factors in Architecture	Anthropometrics in Architectural Design	Architectural Design	(unset)	New	Architecture, Architectural Engineering, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Human Factors in Architecture	Ergonomics in Architectural Design	Architectural Design	(unset)	New	Architecture, Architectural Engineering, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Human Factors in Architecture	Proxemics and Territoriality	Theory of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Human Factors in Architecture	Human Behavior and Spatial Design	Theory of Architecture	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Human Factors in Architecture	Universal Design Principles in Architecture	Architectural Design	(unset)	Existing	Architecture, Architectural Engineering, Interior Design	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Tropical and Environmental Architecture	Fundamentals and Principles of Bioclimatic Architecture	Architectural Design	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering	VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Tropical and Environmental Architecture	Climate Responsive Design in Architecture	Architectural Design	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering	VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Tropical and Environmental Architecture	Passive Cooling Techniques in Architectural Design	Architectural Design	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering	VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Tropical and Environmental Architecture	Sustainable Design Strategies in Architecture	Architectural Design	(unset)	Existing	Architecture, Architectural Engineering	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Tropical and Environmental Architecture	Tropical Architecture Principles	Theory of Architecture	(unset)	New	Architecture, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Tropical and Environmental Architecture	Tropical Architecture in the Philippines	Theory of Architecture	(unset)	New	Architecture	UNSET_VALID
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Masters of Architecture	Major Architects and Their Design Philosophies	History of Architecture	(unset)	New	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Masters of Architecture	Landmark Works of Modern Architecture	History of Architecture	(unset)	New	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
1	🏛️ History and Theory of Architecture	Trace the development of architecture from ancient civilizations to contemporary and Philippine architecture while mastering the theories, principles, and human factors that shape architectural design.	Masters of Architecture	Major Contemporary Architectural Movements	History of Architecture	(unset)	New	Architecture, Interior Design, Landscape Architecture	CONTEXT_GAP
