plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	status
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Algebraic Expressions and Operations	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Linear Equations and Inequalities	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Systems of Linear Equations	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Quadratic Equations	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Polynomial Functions	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Rational Expressions and Equations	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Exponents and Radicals	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Exponential and Logarithmic Functions	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Algebra	Sequences and Series	Algebra	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Angles and Trigonometric Functions	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Trigonometric Ratios	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Unit Circle and Standard Angles	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Trigonometric Identities	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Inverse Trigonometric Functions	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Laws of Sines and Cosines	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Solving Oblique Triangles	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Trigonometry	Engineering Applications of Trigonometry	Trigonometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Cartesian Coordinate System	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Distance, Midpoint, and Section Formulas	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Straight Lines and Slopes	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Circles	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Parabolas	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Ellipses	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Hyperbolas	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Analytic Geometry	Polar Coordinates	Analytic Geometry	ENGINEERING_MATHEMATICS	Unmapped
