plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Understanding the Self	The Self from Philosophical and Psychological Perspectives	Understanding the Self	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Understanding the Self	Biological, Social, and Cultural Influences on the Self	Understanding the Self	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Understanding the Self	Self-Concept, Self-Esteem, and Identity Development	Understanding the Self	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Understanding the Self	The Physical, Sexual, Material, Digital, and Political Self	Understanding the Self	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Understanding the Self	Emotions, Stress, and Coping	Understanding the Self	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Understanding the Self	Goal Setting, Self-Regulation, and Personal Growth	Understanding the Self	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Precolonial Philippine Society and Culture	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Spanish Colonization and Transformation of Philippine Society	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Philippine Reform Movement and the Propaganda Movement	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Philippine Revolution and the First Philippine Republic	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
